index,eventKind,chunkIndex,tokensEstimate,costUsd,costUsdcE6,provisional,proofRef,createdAt
1,estimate,1,10,0.000006,6,true,safe:session_106e6747:chunk:1,2026-04-24T06:40:57.752Z
2,estimate,2,15,0.000009,9,true,safe:session_106e6747:chunk:2,2026-04-24T06:40:57.833Z
3,estimate,3,15,0.000009,9,true,safe:session_106e6747:chunk:3,2026-04-24T06:40:57.914Z
4,estimate,4,7,0.0000036,4,true,safe:session_106e6747:chunk:4,2026-04-24T06:40:57.995Z
5,estimate,5,8,0.0000048,5,true,safe:session_106e6747:chunk:5,2026-04-24T06:40:58.075Z
6,estimate,6,7,0.0000042,4,true,safe:session_106e6747:chunk:6,2026-04-24T06:40:58.156Z
7,estimate,7,10,0.000006,6,true,safe:session_106e6747:chunk:7,2026-04-24T06:40:58.236Z
8,estimate,8,10,0.000006,6,true,safe:session_106e6747:chunk:8,2026-04-24T06:40:58.317Z
9,estimate,9,7,0.0000042,4,true,safe:session_106e6747:chunk:9,2026-04-24T06:40:58.398Z
10,estimate,10,7,0.0000042,4,true,safe:session_106e6747:chunk:10,2026-04-24T06:40:58.478Z
11,estimate,11,7,0.0000042,4,true,safe:session_106e6747:chunk:11,2026-04-24T06:40:58.559Z
12,estimate,12,8,0.0000048,5,true,safe:session_106e6747:chunk:12,2026-04-24T06:40:58.639Z
13,estimate,13,7,0.0000042,4,true,safe:session_106e6747:chunk:13,2026-04-24T06:40:58.720Z
14,estimate,14,8,0.0000042,4,true,safe:session_106e6747:chunk:14,2026-04-24T06:40:58.800Z
15,estimate,15,5,0.000003,3,true,safe:session_106e6747:chunk:15,2026-04-24T06:40:58.881Z
16,estimate,16,10,0.000006,6,true,safe:session_106e6747:chunk:16,2026-04-24T06:40:58.962Z
17,estimate,17,5,0.000003,3,true,safe:session_106e6747:chunk:17,2026-04-24T06:40:59.043Z
18,estimate,18,17,0.0000102,10,true,safe:session_106e6747:chunk:18,2026-04-24T06:40:59.124Z
19,estimate,19,9,0.0000054,5,true,safe:session_106e6747:chunk:19,2026-04-24T06:40:59.204Z
20,estimate,20,5,0.0000024,2,true,safe:session_106e6747:chunk:20,2026-04-24T06:40:59.285Z
21,estimate,21,8,0.0000048,5,true,safe:session_106e6747:chunk:21,2026-04-24T06:40:59.366Z
